"srcip_private","srcip_public","srcip_default","dstip_private","dstip_public","dstip_default","sport_zero","sport_multiplex","sport_echo","sport_discard","sport_daytime","sport_quote","sport_chargen","sport_ftp_data","sport_ftp_control","sport_ssh","sport_telnet","sport_smtp","sport_dns","sport_bootp","sport_gopher","sport_finger","sport_http","sport_kerberos","sport_pop3","sport_nntp","sport_ntp","sport_netbios","sport_imap4","sport_snmp","sport_ldap","sport_https","sport_mds","sport_kpasswd","sport_smtp_ssl","sport_syslog","sport_smtp2","sport_ldaps","sport_cups","sport_imap4_ssl","sport_socks","sport_openvpn","sport_mssql","sport_citrix","sport_oracle","sport_rapservice","sport_msnmessenger","sport_mgc","sport_mysql","sport_metasploit","sport_emule","sport_xmpp","sport_irc","sport_bittorrent","sport_http2","sport_reserved","sport_register","sport_private","dport_zero","dport_multiplex","dport_echo","dport_discard","dport_daytime","dport_quote","dport_chargen","dport_ftp_data","dport_ftp_control","dport_ssh","dport_telnet","dport_smtp","dport_dns","dport_bootp","dport_gopher","dport_finger","dport_http","dport_kerberos","dport_pop3","dport_nntp","dport_ntp","dport_netbios","dport_imap4","dport_snmp","dport_ldap","dport_https","dport_mds","dport_kpasswd","dport_smtp_ssl","dport_syslog","dport_smtp2","dport_ldaps","dport_cups","dport_imap4_ssl","dport_socks","dport_openvpn","dport_mssql","dport_citrix","dport_oracle","dport_rapservice","dport_msnmessenger","dport_mgc","dport_mysql","dport_metasploit","dport_emule","dport_xmpp","dport_irc","dport_bittorrent","dport_http2","dport_reserved","dport_register","dport_private","protocol_tcp","protocol_udp","protocol_icmp","protocol_igmp","protocol_other","tcpflags_URG","tcpflags_ACK","tcpflags_PSH","tcpflags_RST","tcpflags_SYN","tcpflags_FIN","srctos_zero","srctos_192","srctos_other","npackets_verylow","npackets_low","npackets_medium","npackets_high","npackets_veryhigh","nbytes_verylow","nbytes_low","nbytes_medium","nbytes_high","nbytes_veryhigh","label_background","label_analysis","label_backdoor","label_dos","label_exploit","label_fuzzer","label_generic","label_reconnaissance","label_shellcode","label_worm","label_attack","outcome"
2,252,0,2,252,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,52,2,0,0,0,0,0,0,0,5,7,1,15,53,0,0,0,29,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,131,99,24,0,0,0,0,254,0,0,0,0,0,178,0,0,0,4,85,107,53,5,2,76,53,109,14,240,0,0,2,8,0,0,4,0,0,14,"label_exploit"
2,252,0,2,252,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,195,57,2,0,0,0,0,0,0,0,4,8,0,6,48,0,0,0,33,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,125,118,11,0,0,0,0,254,0,0,0,0,0,176,0,0,0,3,95,103,51,2,2,77,70,98,7,243,0,0,0,6,0,1,3,1,0,11,"label_exploit"
0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,59,0,0,0,0,0,0,0,0,9,6,0,11,49,0,0,0,27,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,117,107,30,0,0,0,0,254,0,0,0,0,0,188,0,0,0,3,99,89,59,4,1,66,82,87,18,245,0,0,0,5,0,2,1,1,0,9,"label_exploit"
6,248,0,6,248,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,191,57,6,0,0,0,0,0,0,0,4,6,0,6,33,0,0,0,23,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,104,119,31,0,0,0,0,254,0,0,0,0,0,183,0,0,0,4,85,108,55,2,4,71,68,99,12,240,0,0,4,7,0,1,2,0,0,14,"label_exploit"
4,250,0,0,250,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,187,63,4,0,0,0,0,0,0,0,5,13,0,9,37,0,0,0,24,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,107,122,25,0,0,0,0,254,0,0,0,0,0,195,0,0,0,4,76,100,73,1,0,59,70,106,19,240,0,0,1,9,0,0,2,2,0,14,"label_exploit"
2,252,0,2,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,191,62,0,0,0,0,0,0,0,0,8,10,0,12,40,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,112,106,36,0,0,0,0,254,0,0,0,0,0,186,0,0,0,1,97,91,64,1,0,69,75,88,22,245,0,0,1,3,0,1,4,0,0,9,"label_reconnaissance"
4,250,0,4,250,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,186,63,4,0,0,0,0,0,0,0,5,8,0,7,42,0,0,0,42,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,126,107,21,0,0,0,0,254,0,0,0,10,0,177,0,0,0,0,95,111,47,1,2,76,67,104,5,238,0,0,2,10,0,2,2,0,0,16,"label_exploit"
0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180,73,0,0,0,0,0,0,0,0,5,8,0,10,35,0,0,0,74,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,145,88,21,0,0,0,0,254,0,0,0,50,0,152,0,0,0,2,116,88,48,0,0,103,56,88,7,245,0,0,1,5,0,0,3,0,0,9,"label_exploit"
4,250,0,4,250,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,171,71,12,0,0,0,0,0,0,0,2,10,0,11,40,0,0,0,24,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,116,118,20,0,0,0,0,254,0,0,0,0,0,180,0,0,0,6,81,107,58,2,4,61,78,95,16,234,0,0,0,13,2,1,4,0,0,20,"label_exploit"
6,248,0,2,248,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,186,62,6,0,0,0,0,0,0,0,9,13,0,15,42,0,0,0,21,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,130,94,30,0,0,0,0,254,0,0,0,0,0,180,0,0,0,0,108,100,46,0,0,75,94,80,5,242,0,0,2,9,0,0,1,0,0,12,"label_exploit"
0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,65,0,0,0,0,0,0,0,0,9,15,0,14,49,0,0,0,24,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,128,94,32,0,0,0,0,254,0,0,0,0,0,190,0,0,0,3,88,110,52,1,0,64,84,97,9,243,0,0,1,5,0,2,3,0,0,11,"label_exploit"
4,250,0,4,250,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,188,63,2,0,0,0,0,0,0,0,9,9,0,6,50,0,0,0,32,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,123,101,30,0,0,0,0,254,0,0,0,0,0,178,0,0,0,2,101,107,43,1,0,77,85,80,12,235,0,0,0,14,0,0,3,2,0,19,"label_exploit"
2,252,0,2,252,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,170,70,14,0,0,0,0,0,0,0,9,16,0,12,34,0,0,0,18,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,124,106,24,0,0,0,0,254,0,0,0,0,0,178,0,0,0,3,89,107,49,6,2,62,104,61,25,229,0,0,3,15,2,2,3,0,0,25,"label_exploit"
4,250,0,4,250,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,180,70,4,0,0,0,0,0,0,0,6,12,0,10,40,0,0,0,27,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,116,116,22,0,0,0,0,254,0,0,0,0,0,193,0,0,0,4,82,109,58,1,4,59,81,90,20,242,0,0,2,6,0,1,3,0,0,12,"label_exploit"
0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,72,0,0,0,0,0,0,0,0,5,10,0,11,38,0,0,0,48,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,131,111,12,0,0,0,0,254,0,0,0,0,0,199,0,0,0,1,104,105,44,0,0,75,90,78,11,214,0,0,0,6,31,1,2,0,0,40,"label_fuzzer"
4,250,0,0,250,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,186,64,4,0,0,0,0,0,0,0,5,22,0,12,32,0,0,0,32,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,143,97,14,0,0,0,0,254,0,0,0,0,0,194,0,0,0,5,100,111,38,0,1,81,89,74,9,207,0,0,0,8,34,0,3,2,0,47,"label_fuzzer"
2,252,0,2,252,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,179,73,2,0,0,0,0,0,0,0,12,18,0,11,45,0,0,0,27,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,145,92,17,0,0,0,0,254,0,0,0,0,0,188,0,0,0,0,102,105,47,0,0,78,97,72,7,230,0,0,0,4,16,1,3,0,0,24,"label_fuzzer"
2,252,0,2,252,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,185,67,2,0,0,0,0,0,0,0,8,14,0,10,38,0,0,0,24,0,3,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,127,102,25,0,0,0,0,254,0,0,0,0,0,195,0,0,0,1,93,113,43,4,0,67,95,85,7,227,0,0,1,15,10,0,0,0,1,27,"label_exploit"
4,250,0,4,250,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,185,66,2,0,0,0,0,0,0,0,4,11,0,7,38,0,0,0,21,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,131,108,15,0,0,0,0,254,0,0,0,0,0,185,0,0,0,15,91,98,50,0,2,76,86,77,13,221,0,0,2,4,23,0,4,0,0,33,"label_fuzzer"
4,250,0,4,250,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,188,62,4,0,0,0,0,0,0,0,4,20,0,13,36,0,0,0,21,0,2,0,0,0,6,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,125,112,17,0,0,0,0,254,0,0,0,0,0,194,0,0,0,10,69,118,57,0,4,56,89,81,24,236,0,0,2,8,5,1,2,0,0,18,"label_exploit"
6,248,0,2,248,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,184,64,6,0,0,0,0,0,0,0,10,10,0,10,47,0,0,0,29,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,127,105,22,0,0,0,0,254,0,0,0,0,0,180,0,0,0,2,109,96,43,4,2,72,96,71,13,243,0,0,1,6,0,2,2,0,0,11,"label_exploit"
0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,67,0,0,0,0,0,0,0,0,6,27,0,14,45,0,0,0,24,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,137,104,13,0,0,0,0,254,0,0,0,0,0,190,0,0,0,1,87,114,46,6,0,65,96,78,15,242,0,0,1,5,0,1,5,0,0,12,"label_exploit"
2,252,0,2,252,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,193,59,2,0,0,0,0,0,0,0,5,17,0,13,34,0,0,0,19,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,116,123,15,0,0,0,0,254,0,0,0,0,0,190,0,0,0,1,84,118,48,3,0,66,95,82,11,241,0,0,1,8,1,1,2,0,0,13,"label_exploit"
2,252,0,2,252,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,182,70,2,0,0,0,0,0,0,0,4,18,0,15,40,0,0,0,17,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,145,93,16,0,0,0,0,254,0,0,0,0,0,193,0,0,0,2,111,102,38,1,2,92,79,70,11,211,0,0,1,6,31,2,3,0,0,43,"label_fuzzer"
6,248,0,6,248,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,179,70,4,0,0,0,0,0,0,0,6,18,0,13,34,0,0,0,16,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,135,104,15,0,0,0,0,254,0,0,0,0,0,185,0,0,0,5,100,112,37,0,4,86,87,72,5,223,0,0,0,7,22,0,1,1,0,31,"label_fuzzer"
4,250,0,0,250,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,192,58,4,0,0,0,0,0,0,0,7,14,0,12,36,0,0,0,16,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,136,103,15,0,0,0,0,254,0,0,0,0,0,188,0,0,0,3,118,94,39,0,0,87,90,69,8,228,0,0,0,2,18,1,3,2,0,26,"label_fuzzer"
0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,189,64,0,0,0,0,0,0,0,0,5,15,0,10,47,0,0,0,30,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,139,104,11,0,0,0,0,254,0,0,0,0,0,192,0,0,0,2,99,113,39,1,0,75,90,78,11,232,0,0,1,6,11,2,1,0,1,22,"label_fuzzer"
0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,65,0,0,0,0,0,0,0,0,3,13,0,8,50,0,0,0,30,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,144,93,17,0,0,0,0,254,0,0,0,0,0,184,0,0,0,5,101,105,41,2,1,82,76,88,7,226,0,0,0,2,19,0,7,0,0,28,"label_fuzzer"
4,250,0,4,250,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,173,77,4,0,0,0,0,0,0,0,2,14,0,11,40,0,0,0,36,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,139,101,14,0,0,0,0,254,0,0,0,0,0,196,0,0,0,2,96,110,39,7,2,71,79,88,14,228,0,0,0,6,13,1,6,0,0,26,"label_fuzzer"
